NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag 0 redshift med_flux
1526 1019.26 1893.74 0.38 -66.83 5.35 1 0 0.238 0.04716651514172554
1530 1445.89 1894.94 0.11 -85.82 2.59 1 0 0.227 0.013101604767143726
1531 1041.95 1896.01 0.44 42.3 3.43 1 0 0.242 0.017160851508378983
1556 1343.87 1955.34 0.38 55.96 4.44 1 0 0.252 0.04206790775060654
1562 731.56 1961.6 0.32 35.07 4.15 1 0 0.247 0.016103647649288177
1588 1862.81 2006.59 0.46 34.82 8.61 1 0 0.235 0.07016192376613617
1596 424.61 2004.36 0.12 -45.21 2.03 1 0 0.236 0.0006142889615148306
1601 1024.65 2008.52 0.57 39.28 1.6 2 0 0.254 -0.004918257240206003
1653 397.84 444.34 0.27 55.38 7.25 1 0 0.226 0.09738754481077194
1657 441.47 490.24 0.31 68.33 5.14 1 0 0.226 0.08127740770578384
1658 433.3 491.86 0.31 25.6 7.44 1 0 0.226 0.12470374256372452
1751 1211.98 1285.95 0.42 30.47 8.57 1 0 0.246 0.1611303687095642
1757 976.99 1315.99 0.29 42.76 17.91 1 0 0.231 0.25281617045402527
1785 1108.7 1444.42 0.13 -75.26 5.61 1 0 0.232 0.06395240873098373
1791 459.98 1464.4 0.23 -32.73 5.17 1 0 0.217 0.059806838631629944
1795 1575.2 1480.36 0.25 -64.92 4.92 2 0 0.244 0.02774772234261036
1796 1580.01 1487.58 0.17 66.83 2.76 1 0 0.244 -0.0016234481008723378
1806 1317.62 1535.13 0.1 -83.76 6.13 1 0 0.241 0.022543586790561676
1833 518.01 1774.21 0.24 55.76 4.89 1 0 0.238 0.01752849854528904
1834 510.47 1780.05 0.24 -27.27 6.56 1 0 0.224 0.10177791118621826
1838 1372.28 1786.24 0.56 -3.74 4.98 1 0 0.223 0.03810355067253113
1842 1340.45 1859.07 0.24 -17.83 7.69 1 0 0.24 0.034497540444135666
1844 1963.25 1923.49 0.42 34.67 6.13 1 0 0.235 0.07023990154266357
1845 1532.16 1953.04 0.4 48.72 5.14 1 0 0.222 0.030632035806775093
1846 1530.44 1962.8 0.15 53.89 5.64 1 0 0.222 0.026112210005521774
