NUMBER xcentroid ycentroid ellipticity orientation equivalent_radius flag 0 0 0 quality_flag redshift
1117 1986.24 1827.37 0.22 23.37 2.39 2 0 0 0 1 0 0.249
1125 1760.8 1843.05 0.42 52.09 4.72 1 0 0 0 3 0 0.226
1147 1931.6 1883.96 0.59 44.76 1.87 1 0 0 0 2 0 0.233
1149 1530.05 1884.37 0.46 13.53 1.69 1 0 0 0 2 0 0.233
1165 724.93 1918.79 0.23 -41.29 1.6 1 0 0 0 1 0 0.250
1186 1929.94 1959.81 0.5 54.47 4.18 1 0 0 0 3 0 0.240
1191 1269.52 1968.96 0.41 -75.53 2.39 1 0 0 0 3 0 0.228
1217 1624.65 2030.81 0.33 51.45 3.66 1 0 0 0 2 0 0.234
1248 1887.75 76.85 0.12 38.32 3.91 1 0 0 0 3 0 0.243
1272 1562.58 673.41 0.61 87.85 2.88 1 0 0 0 0 0 0.253
1277 729.68 699.39 0.25 60.35 8.16 1 0 0 0 3 0 0.233
1326 530.11 1855.89 0.39 84.08 2.93 2 0 0 0 0 0 0.257
1327 529.77 1864.89 0.69 80.46 2.71 2 0 0 0 0 0 0.258
1328 534.45 1872.74 0.81 82.14 4.65 1 0 0 0  0 0.214
